Player Combo,isTwoPlayer,Minutes,Off Min,Def Min,Off Poss,Def Poss,Total Possessions,rel_PM_p40,On-Off_PMp40,ORTG,DRTG,Net_RTG,On-Off,PM_p40,rel_Off_RTG,rel_Def_RTG,rel_Net_RTG,Plus_Minus,Off-Court PM_p40,Off-Court ORTG,Off-Court DRTG,Off-Court Net_RTG,Team Minutes,Team Plus_Minus,Team Off Poss,Team Def Poss,Team Total Possessions,Team ORTG,Team DRTG,Team Net_RTG,Team PM_p40
DP-A'M-EF-JB,False,1.222,0.0,1.222,0,4,4,-189.248,-191.196,0.0,175.0,-175.0,-148.42,-229.195,-79.365,64.61,-143.975,-7,-37.999,77.586,104.167,-26.58,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
DP-SI-A'M-EF,False,1.222,0.0,1.222,0,4,4,-189.248,-210.689,0.0,175.0,-175.0,-160.583,-229.195,-79.365,64.61,-143.975,-7,-18.506,87.805,102.222,-14.417,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
DP-SI-EF-JB,False,1.222,0.0,1.222,0,4,4,-189.248,-210.689,0.0,175.0,-175.0,-160.583,-229.195,-79.365,64.61,-143.975,-7,-18.506,87.805,102.222,-14.417,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
DP-SI-A'M-JB,False,1.222,0.0,1.222,0,4,4,-189.248,-223.329,0.0,175.0,-175.0,-162.408,-229.195,-79.365,64.61,-143.975,-7,-5.866,85.915,98.507,-12.592,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SI-A'M-EF-JB,False,1.222,0.0,1.222,0,4,4,-189.248,-219.534,0.0,175.0,-175.0,-166.195,-229.195,-79.365,64.61,-143.975,-7,-9.661,94.643,103.448,-8.805,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-EF-KJ-MH,False,1.213,0.718,0.495,4,2,6,39.947,121.547,50.0,100.0,-50.0,133.333,0.0,-29.365,-10.39,-18.975,0,-121.547,0.0,183.333,-183.333,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-IK-EF-MH,False,1.213,0.718,0.495,4,2,6,39.947,263.415,50.0,100.0,-50.0,130.0,0.0,-29.365,-10.39,-18.975,0,-263.415,0.0,180.0,-180.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-IK-EF-KJ,False,1.213,0.718,0.495,4,2,6,39.947,218.402,50.0,100.0,-50.0,100.0,0.0,-29.365,-10.39,-18.975,0,-218.402,0.0,150.0,-150.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SI-IK-AM7-KJ,False,1.195,0.683,0.512,3,3,6,6.474,154.517,100.0,133.333,-33.333,66.667,-33.473,20.635,22.944,-2.309,-1,-187.99,0.0,100.0,-100.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-SI-IK-KJ,False,1.195,0.683,0.512,3,3,6,6.474,72.534,100.0,133.333,-33.333,50.0,-33.473,20.635,22.944,-2.309,-1,-106.007,0.0,83.333,-83.333,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
