#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
84,2,P4,,"Defense, Unsuccessful, Allow Paint Touch, Allow Middle",,,0:10.1,,,1:03.66,1:13.72,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #24 Kayla Jones, #13 Ivana Krajina, #55 Maya Hernandez",,,
85,#,P4,,"Defense, Successful, Allow UC 3",,,0:12.5,,,1:51.86,2:04.35,Live,,,,,"#0 Sarah Deng, #13 Ivana Krajina, #06 Shawnee Nordstrom, #24 Kayla Jones, #55 Maya Hernandez",,,
86,@,P4,,"Offense, Unsuccessful",,,0:05.6,,,2:04.35,2:09.98,Live,,,,,"#06 Shawnee Nordstrom, #13 Ivana Krajina, #0 Sarah Deng, #24 Kayla Jones, #55 Maya Hernandez, #0 Sarah Deng",,,
87,),P4,,"Defense, Whistle, Allow Middle",,,0:07.9,,,2:26.18,2:34.10,Live,,,,,"#02 Mari Somvichian, #03 Danae Powell, #04 Allison Clarke, #11 Erica Finney, #07 Ana Milanovic",,,
88,#,P4,,"Defense, Whistle, Allow UC 3",,,0:15.0,,,3:09.88,3:24.89,Live,,,,,"#02 Mari Somvichian, #03 Danae Powell, #04 Allison Clarke, #07 Ana Milanovic, #11 Erica Finney",,,
89,9,P4,,"Defense, Successful",,,0:13.8,,,3:41.32,3:55.09,Live,,,,,"#03 Danae Powell, #04 Allison Clarke, #02 Mari Somvichian, #11 Erica Finney, #07 Ana Milanovic",,,
90,0,P4,,"Offense, Successful, FT Drawn",,,0:17.1,,,3:55.09,4:12.23,Live,,,,,"#03 Danae Powell, #02 Mari Somvichian, #11 Erica Finney, #04 Allison Clarke, #07 Ana Milanovic",,,
91,!,P4,,Offense,,,0:08.5,,,4:24.22,4:32.72,Live,,,,,"#04 Allison Clarke, #07 Ana Milanovic, #02 Mari Somvichian, #11 Erica Finney, #03 Danae Powell",,,
92,),P4,,"Defense, Whistle",,,0:11.0,,,4:32.72,4:43.73,Live,,,,,"#02 Mari Somvichian, #11 Erica Finney, #04 Allison Clarke, #03 Danae Powell, #07 Ana Milanovic",,,
93,),P4,,"Defense, Whistle",,,0:12.5,,,5:21.02,5:33.52,Live,,,,,"#02 Mari Somvichian, #03 Danae Powell, #11 Erica Finney, #04 Allison Clarke, #07 Ana Milanovic",,,
94,2,P4,,"Defense, Unsuccessful, Allow Paint Touch",,,0:08.7,,,5:41.23,5:49.89,Live,,,,,"#02 Mari Somvichian, #11 Erica Finney, #07 Ana Milanovic, #03 Danae Powell, #04 Allison Clarke",,,
95,#,P4,,"Offense, Unsuccessful",,,0:17.4,,,0:11.96,0:29.33,Live,,,,,"#0 Sarah Deng, #24 Kayla Jones, #06 Shawnee Nordstrom, #55 Maya Hernandez, #13 Ivana Krajina",,,
96,#,P4,,"Offense, Unsuccessful",,,0:18.9,,,0:38.79,0:57.70,Live,,,,,"#06 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez, #24 Kayla Jones, #0 Sarah Deng",,,
97,),P4,,"Defense, Whistle",,,0:07.4,,,0:57.70,1:05.06,Live,,,,,"#55 Maya Hernandez, #06 Shawnee Nordstrom, #13 Ivana Krajina, #0 Sarah Deng, #24 Kayla Jones",,,
98,2,P4,,"Defense, Unsuccessful, Allow Paint Touch, Deflection",,,0:13.5,,,1:59.96,2:13.49,Live,,,,,"#08 Shanayka Ismar, #30 Janay Brantley, #06 Shawnee Nordstrom, #0 Sarah Deng, #22 Ali'a Matavao",,,
99,2,P4,,"Defense, Unsuccessful, Allow Paint Touch",,,0:17.4,,,0:01.41,0:18.79,Live,,,,,"#06 Shawnee Nordstrom, #22 Ali'a Matavao, #30 Janay Brantley, #0 Sarah Deng, #08 Shanayka Ismar",,,
