#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
409,,p21,9,"Defense, Allow_Paint_Touch",,,0:17.5,N/A,N/A,8:02.55,8:20.06,Live,,,,,"#8 Shanayka Ismar, #6 Shawnee Nordstrom, #55 Maya Hernandez, #0 Sarah Deng, #13 Ivana Krajina",,,
410,,p21,9,Defense,,,0:05.5,N/A,N/A,11:01.49,11:06.96,Live,,,,,"#2 Mari Somvichian, #3 Danae Powell, #24 Kayla Jones, #4 Allison Clarke, #13 Ivana Krajina",,,
411,,p21,@,"Defense, Allow_Paint_Touch",,,0:22.2,N/A,N/A,11:40.66,12:02.89,Live,,,,,"#13 Ivana Krajina, #3 Danae Powell, #2 Mari Somvichian, #4 Allison Clarke, #24 Kayla Jones",,,
412,,p21,2,"Defense, Allow_Paint_Touch",,,0:06.3,N/A,N/A,12:29.95,12:36.29,Live,,,,,"#55 Maya Hernandez, #8 Shanayka Ismar, #6 Shawnee Nordstrom, #0 Sarah Deng, #24 Kayla Jones",,,
413,,p21,),"Defense, Allow_Paint_Touch",,,0:14.7,N/A,N/A,16:16.97,16:31.63,Live,,,,,"#0 Sarah Deng, #6 Shawnee Nordstrom, #24 Kayla Jones, #55 Maya Hernandez, #8 Shanayka Ismar",,,
414,,p21,2,"Defense, Allow_Paint_Touch",,,0:13.0,N/A,N/A,17:10.86,17:23.83,Live,,,,,"#8 Shanayka Ismar, #0 Sarah Deng, #24 Kayla Jones, #55 Maya Hernandez, #6 Shawnee Nordstrom",,,
415,,p21,#,"Defense, Allow UC 3, Allow_Middle, Allow_Paint_Touch",,,0:18.0,N/A,N/A,17:43.17,18:01.19,Live,,,,,"#55 Maya Hernandez, #24 Kayla Jones, #6 Shawnee Nordstrom, #0 Sarah Deng, #8 Shanayka Ismar",,,
416,,p21,2,"Defense, Allow_Paint_Touch",,,0:15.0,N/A,N/A,18:20.03,18:34.99,Live,,,,,"#24 Kayla Jones, #8 Shanayka Ismar, #55 Maya Hernandez, #0 Sarah Deng, #6 Shawnee Nordstrom",,,
417,,p21,),"Defense, Deflection_",,,0:21.2,N/A,N/A,20:46.42,21:07.59,Live,,,,,"#2 Mari Somvichian, #4 Allison Clarke, #13 Ivana Krajina, #24 Kayla Jones, #3 Danae Powell",,,
418,,p21,#,Defense,,,0:08.8,N/A,N/A,21:19.85,21:28.66,Live,,,,,"#2 Mari Somvichian, #13 Ivana Krajina, #24 Kayla Jones, #3 Danae Powell, #4 Allison Clarke",,,
419,,p21,3,Defense,,,0:18.3,N/A,N/A,22:54.32,23:12.63,Live,,,,,"#13 Ivana Krajina, #2 Mari Somvichian, #24 Kayla Jones, #4 Allison Clarke, #3 Danae Powell",,,
