#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
94,2,P6,,Offense,,,0:13.1,,,1:23.76,1:36.83,Live,,,,,"#03 Danae Powell, #04 Allison Clarke, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones, Transition",,,
95,),P6,,Offense,,,0:07.0,,,1:50.53,1:57.49,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #07 Ana Milanovic, #11 Erica Finney, #55 Maya Hernandez, Half-court",,,
96,@-8,P6,,Offense,,,0:23.7,,,2:09.68,2:33.40,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #07 Ana Milanovic, #11 Erica Finney, #55 Maya Hernandez, Transition",,,
97,9,P6,,Offense,,,0:13.3,,,3:17.86,3:31.20,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #07 Ana Milanovic, #11 Erica Finney, #55 Maya Hernandez, Half-court",,,
98,@,P6,,Offense,,,0:13.9,,,3:56.25,4:10.16,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #07 Ana Milanovic, #11 Erica Finney, #13 Ivana Krajina, Half-court",,,
99,2,P6,,Offense,,,0:11.6,,,4:38.59,4:50.22,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #07 Ana Milanovic, #11 Erica Finney, #13 Ivana Krajina, Half-court",,,
100,9,P6,,"Defense, Deflection, Allow Middle",,,0:16.2,,,4:50.22,5:06.38,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #07 Ana Milanovic, #11 Erica Finney, #13 Ivana Krajina",,,
101,),P6,,Offense,,,0:08.6,,,5:06.38,5:14.93,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #07 Ana Milanovic, #11 Erica Finney, #13 Ivana Krajina, Transition",,,
102,0-2-1,P7,,"Defense, Allow Paint Touch",,,0:15.6,,,1:06.82,1:22.46,Live,,,,,"#03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones, #55 Maya Hernandez, Half-court",,,
103,9,P7,,Defense,,,0:09.9,,,1:45.11,1:55.00,Live,,,,,"#03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones, #55 Maya Hernandez",,,
104,),P7,,"Defense, Deflection",,,0:14.4,,,1:58.56,2:12.92,Live,,,,,"#03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones, #55 Maya Hernandez",,,
105,9,P7,,"Defense, Deflection",,,0:13.5,,,2:22.19,2:35.66,Live,,,,,"#03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones, #55 Maya Hernandez",,,
106,0-1-!,P7,,Defense,,,0:20.3,,,0:04.25,0:24.50,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #04 Allison Clarke, #07 Ana Milanovic, #13 Ivana Krajina, Half-court",,,
107,9,P7,,"Defense, Deflection",,,0:11.9,,,0:49.43,1:01.29,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #04 Allison Clarke, #07 Ana Milanovic, #13 Ivana Krajina",,,
108,2,P7,,"Defense, Allow Paint Touch",,,0:13.2,,,1:12.84,1:26.07,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #04 Allison Clarke, #07 Ana Milanovic, #13 Ivana Krajina, Half-court",,,
109,),P7,,Defense,,,0:13.3,,,0:19.01,0:32.28,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #04 Allison Clarke, #07 Ana Milanovic, #13 Ivana Krajina, Half-court",,,
110,@-8-#-8-0-1-1,P7,,"Defense, Allow Paint Touch",,,0:32.2,,,1:05.38,1:37.56,Live,,,,,"#06 Shawnee Nordstrom, #08 Shanayka Ismar, #11 Erica Finney, #24 Kayla Jones, #55 Maya Hernandez, Half-court",,,
111,#-8-3,P7,,"Defense, Allow Paint Touch",,,0:20.1,,,2:10.54,2:30.69,Live,,,,,"#06 Shawnee Nordstrom, #08 Shanayka Ismar, #11 Erica Finney, #24 Kayla Jones, #55 Maya Hernandez, Half-court",,,
